Best,Average,Worst
1566,2002,3439
1566,1974,3439
1566,2022,3439
1566,1951,3439
1566,2027,3439
1566,1970,3439
1566,2014,3439
1566,2089,3439
1566,2033,3439
1566,2070,3439
1566,2020,3442
1566,1986,3442
1566,2087,3442
1566,2057,3442
1566,2027,3442
1566,2078,3442
1566,2026,3442
1566,2032,3442
1566,2027,3442
1566,1977,3442
1566,2032,3442
1566,1990,3442
1566,2060,3442
1566,1970,3442
1566,1989,3442
1566,2064,3442
1566,1971,3442
1566,1847,3442
1566,1912,3442
1566,1969,3442
1566,2133,3442
1566,2113,3442
1566,2003,3442
1566,1999,3442
1566,2041,3442
1566,1984,3442
1566,2004,3442
1566,2101,3442
1566,2079,3442
1566,2049,3442
1566,2119,3442
1566,2029,3442
1566,1989,3442
1566,1967,3442
1566,2007,3442
1566,2054,3442
1566,2117,3442
1566,2117,3442
1566,1996,3442
1566,1971,3442
1566,1989,3442
1566,2002,3517
1566,2114,3517
1566,1988,3517
1566,2082,3517
1566,2044,3517
1566,1974,3408
1566,2024,3517
1566,1967,3517
1566,2032,3517
1566,2045,3517
1566,2102,3517
1566,2055,3517
1566,2095,3517
1566,2057,3517
1566,2132,3517
1566,2047,3517
1566,2117,3517
1566,2041,3517
1566,1990,3517
1566,2049,3517
1566,2069,3517
1566,1960,3517
1566,2007,3486
1566,2033,3528
1566,2119,3528
1566,2094,3519
1566,2008,3516
1566,2013,3517
1566,1937,3256
1566,2049,3256
1566,1958,3256
1566,2046,3256
1566,2006,3376
1566,1934,3361
1566,2023,3361
1566,2057,3361
1566,2068,3361
1566,2000,3361
1566,2047,3361
1566,2003,3361
1566,1986,3361
1566,1984,3361
1566,2002,3361
1566,2006,3361
1566,1971,3361
1566,2006,3361
1566,2047,3361
1566,2020,3409
1566,2059,3409
1566,1986,3409
1566,2015,3409
1566,2008,3409
1566,2027,3409
1566,1975,3409
1566,2064,3409
1566,1978,3409
1566,2024,3409
1566,1982,3409
1566,2060,3409
1566,2045,3523
1566,1961,3523
1566,2069,3523
1566,2022,3523
1566,2072,3523
1566,2007,3523
1566,1985,3523
1566,2059,3528
1566,2061,3528
1566,2144,3528
1566,2140,3528
1566,2006,3528
1566,2070,3528
1566,2035,3528
1566,1999,3528
1566,1985,3528
1566,2004,3528
1566,2039,3528
1566,2119,3528
1566,2067,3528
1566,2062,3528
1566,1884,3528
1566,2074,3528
1566,2067,3528
1566,2044,3528
1566,2030,3528
1566,1987,3528
1566,2076,3528
1566,1973,3528
1566,2119,3528
1566,2001,3528
1566,2001,3528
1566,2066,3528
1566,2035,3528
1566,1963,3528
1566,2047,3528
1566,2159,3528
1566,2038,3528
1566,1951,3528
1566,2050,3528
1566,2061,3528
1566,1994,3528
1566,2058,3528
1566,2002,3528
1566,2087,3528
